frame_id,timestamp,x,y,z,target_yaw,target_pitch,distance,armor_orientation_yaw
258,8599.14,-0.591068,0.206573,2.80099,-0.20797,0.072036,2.87012,-0.460105
259,8632.47,-0.518608,0.206754,2.74497,-0.186729,0.073877,2.80117,-0.12289
260,8665.8,-0.438362,0.203252,2.67333,-0.16253,0.0748873,2.71664,0.00492295
261,8699.13,-0.377124,0.207232,2.72865,-0.137339,0.0750903,2.76237,0.34769
262,8732.46,-0.309373,0.201229,2.68297,-0.114803,0.0743712,2.70823,0.738876
263,8765.79,-0.28358,0.213308,2.90902,-0.0971758,0.0728512,2.93059,0.965709
264,8799.12,-0.535386,0.248601,2.67359,-0.197636,0.0909223,2.73798,-0.262382
265,8832.45,-0.455131,0.248587,2.63795,-0.17085,0.0925972,2.68844,-0.0111528
266,8865.78,-0.382854,0.252406,2.67617,-0.142096,0.0930955,2.71518,0.272194
267,8899.11,-0.303201,0.244218,2.61891,-0.115261,0.0923695,2.64769,0.697291
268,8932.44,-0.632927,0.210083,2.86007,-0.217788,0.0715961,2.93679,-0.577715
269,8965.77,-0.560124,0.208969,2.78322,-0.198598,0.0734734,2.8467,-0.256497
270,8999.1,-0.465491,0.200787,2.63272,-0.175002,0.0749605,2.68108,-0.0930565
271,9032.43,-0.396536,0.202586,2.63208,-0.149531,0.0759627,2.66948,-0.0465079
272,9065.76,-0.335476,0.204071,2.67824,-0.124611,0.0754616,2.70688,0.59694
273,9099.09,-0.292045,0.210865,2.80426,-0.103769,0.0746509,2.8273,0.8574
275,9165.75,-0.480744,0.246808,2.63634,-0.180371,0.0918398,2.69116,-0.106571
276,9199.08,-0.39824,0.247905,2.62555,-0.150531,0.0930828,2.66713,0.26622
277,9232.41,-0.322914,0.246762,2.63846,-0.121782,0.092567,2.66957,0.538867
280,9332.4,-0.488492,0.203446,2.67348,-0.180724,0.074719,2.72535,-0.136824
281,9365.73,-0.42068,0.205479,2.68136,-0.155622,0.0755624,2.72192,0.0819166
282,9399.06,-0.349162,0.202632,2.65635,-0.130695,0.0754878,2.68686,0.494026
283,9432.39,-0.303034,0.209118,2.77453,-0.108789,0.0747854,2.79885,0.738963
285,9499.05,-0.51516,0.250698,2.66328,-0.191071,0.0921564,2.72421,-0.187413
286,9532.38,-0.425067,0.245545,2.58113,-0.163218,0.0935923,2.62739,-0.0839927
287,9565.71,-0.363111,0.254736,2.68319,-0.134511,0.0938043,2.7196,0.354534
288,9599.04,-0.285849,0.247062,2.63383,-0.108107,0.0929867,2.66079,0.741171
289,9632.37,-0.602773,0.207383,2.78922,-0.212835,0.0725466,2.86113,-0.52623
290,9665.7,-0.527632,0.205061,2.70695,-0.192504,0.0742177,2.76551,-0.227468
291,9699.03,-0.449177,0.204419,2.64415,-0.16827,0.076071,2.68981,-0.0262621
292,9732.36,-0.377941,0.204406,2.64158,-0.142109,0.0764506,2.6763,0.348299
293,9765.69,-0.309759,0.200721,2.61635,-0.117845,0.0760391,2.64226,0.702482
294,9799.02,-0.270564,0.207581,2.75448,-0.0979129,0.0748602,2.77551,0.945772
295,9832.35,-0.541864,0.248328,2.67179,-0.200095,0.0908394,2.73747,-0.294064
296,9865.68,-0.46096,0.25091,2.64726,-0.172399,0.0931059,2.69878,0.0421507
297,9899.01,-0.386058,0.249581,2.62223,-0.146175,0.0938871,2.66222,0.0350108
298,9932.34,-0.339795,0.250975,2.64622,-0.127709,0.0937944,2.67972,-0.136493
299,9965.67,-0.310637,0.250595,2.65377,-0.116525,0.0935161,2.68361,0.540779
300,9999,-0.302213,0.251457,2.67071,-0.112679,0.093285,2.69949,0.575706
302,10065.7,-0.315276,0.248251,2.62923,-0.119342,0.0934748,2.65968,0.538969
303,10099,-0.33507,0.248899,2.63632,-0.12642,0.0933858,2.66915,0.440529
304,10132.3,-0.359061,0.250044,2.63776,-0.135292,0.0936529,2.67381,0.346505
305,10165.6,-0.378009,0.243166,2.57447,-0.145788,0.0931801,2.61342,0.405258
306,10199,-0.413079,0.244874,2.5931,-0.157972,0.0929881,2.63719,0.0256558
307,10232.3,-0.448667,0.245372,2.59985,-0.170891,0.092738,2.64966,-0.0763781
308,10265.6,-0.491744,0.247474,2.64044,-0.184126,0.0918807,2.69722,-0.156725
309,10299,-0.548839,0.254602,2.74794,-0.197133,0.0906087,2.81376,-0.225942
